customerID,customerName,contactLastName,contactFirstName,city,country,createDate
103,"Atelier graphique",Schmitt,Carine,Nantes,France,2004-02-05
112,"Signal Gift Stores",King,Jean,"Las Vegas",USA,2004-02-05
114,"Australian Collectors Co.",Ferguson,Peter,Melbourne,Australia,2004-02-20
119,"La Rochelle Gifts",Labrune,Janine,Nantes,France,2004-02-05
121,"Baane Mini Imports",Bergulfsen,Jonas,Stavern,Norway,2004-02-05
124,"Mini Gifts Distributors Ltd.",Nelson,Susan,"San Rafael",USA,2004-03-11
125,"Havel & Zbyszek Co",Piestrzeniewicz,Zbyszek,Warszawa,Poland,2004-02-05
128,"Blauer See Auto Co.",Keitel,Roland,Frankfurt,Germany,2004-03-15
129,"Mini Wheels Co.",Murphy,Julie,"San Francisco",USA,2004-02-05
131,"Land of Toys Inc.",Lee,Kwai,NYC,USA,2004-05-07
